Vertical,Min,Max,9-2-2021,10-5-2021,11-4-2021,12-6-2021,1-3-2022,1-31-2022,2-28-2022,3-28-2022,4-25-2022,5-23-2022,6-20-2022,7-18-2022,8-15-2022,9-12-2022,10-10-2022,11-7-2022,12-5-2022,1-2-2023,1-30-2023,2-27-2023,3-27-2023,4-24-2023,5-22-2023,6-19-2023,7-17-2023,8-14-2023,9-11-2023,10-9-2023,11-6-2023,12-4-2023,1-1-2024,1-29-2024,2-26-2024,3-25-2024,4-22-2024,5-20-2024,6-6-2024,7-15-2024,8-12-2024,9-9-2024,10-7-2024,11-4-2024,12-2-2024,12-30-2024,1-27-2025,2-24-2025,3-24-2025,4-21-2025,5-19-2025,6-16-2025,7-14-2025,8-22-2025,9-8-2025,10-6-2025,11-3-2025,12-1-2025
Infrastructure,18.19%,29.10%,18.73%,18.58%,26.34%,29.10%,25.87%,,,,,,,,,,,,,,,,,,,,,,,,24.8%,24.57%,,,,,,21.10%,21.16%,,,,,,,,,,,,,,18.19%,21.54%,,,,
Innovation,33.17%,60.55%,50.94%,51.75%,38.94%,39.99%,43.11%,,,,,,,,,,,,,,,,,,,,,,,,34.9%,33.17%,,,,,,45.34%,45.16%,,,,,,,,,,,,,,60.55%,59.34%,,,,
Lending,12.92%,23.45%,21.10%,22.79%,23.45%,18.61%,19.64%,,,,,,,,,,,,,,,,,,,,,,,,20.4%,22.85%,,,,,,19.48%,19.75%,,,,,,,,,,,,,,21.54%,12.92%,,,,
Real Estate,1.73%,19.41%,9.23%,6.88%,11.27%,12.30%,11.38%,,,,,,,,,,,,,,,,,,,,,,,,18.9%,19.41%,,,,,,14.08%,13.93%,,,,,,,,,,,,,,1.73%,6.16%,,,,
